UID,Counter,Upload_Time,Message
24,0,2019-06-27 14:41:47,1110010000000001000011110000001101111010000001000001010000100110000101000010110000001111000000000000000000000000
24,0,2019-06-27 14:52:41,1110010000000001000011110000001101100101000001000001010000011101000101000010000000001111000000000000000000000000
24,0,2019-06-27 14:54:29,1110010000000001000011110000001101100110000001000001010000011110000101000010000000001111000000000000000000000000
24,0,2019-06-27 14:56:11,1110010000000001000011110000001101100000000001000001010000011100000101000001110000001111000000000000000000000000
24,0,2019-06-27 14:57:51,1110010000000001000011110000001101100000000001000001010000011101000101000001101100001111000000000000000000000000
24,0,2019-06-27 14:59:28,1110010000000001000011110000001101011101000001000001010000011100000101000001100100001111000000000000000000000000
24,0,2019-06-27 15:01:03,1110010000000001000011110000001101100001000001000001010000011101000101000001110000001111000000000000000000000000
24,0,2019-06-27 15:02:37,1110010000000001000011110000001101100000000001000001010000011101000101000001101100001111000000000000000000000000
24,0,2019-06-27 15:09:02,1110010000000001000011110000001101100010000001000001010000011110000101000001110000001111000000000000000000000000
24,0,2019-06-27 15:10:40,1110010000000001000011110000001101100101000001000001010000011111000101000001111000001111000000000000000000000000
24,0,2019-06-27 15:12:19,1110010000000001000011110000001101100100000001000001010000011111000101000001110100001111000000000000000000000000
24,0,2019-06-27 15:13:59,1110010000000001000011110000001101100100000001000001010000011111000101000001110100001111000000000000000000000000
24,0,2019-06-27 15:15:39,1110010000000001000011110000001101100000000001000001010000011101000101000001101100001111000000000000000000000000
24,0,2019-06-27 15:17:17,1110010000000001000011110000001101101010000001000001010000100011000101000001111100001111000000000000000000000000
24,0,2019-06-27 15:18:59,1110010000000001000011110000001101101011000001000001010000100000000101000010001100001111000000000000000000000000
24,0,2019-06-27 15:20:42,1110010000000001000011110000001101100101000001000001010000011111000101000001111000001111000000000000000000000000
24,0,2019-06-27 15:22:28,1110010000000001000011110000001101101010000001000001010000011110000101000010010000001111000000000000000000000000
24,0,2019-06-27 15:24:08,1110010000000001000011110000001101100111000001000001010000011100000101000010001100001111000000000000000000000000
24,0,2019-06-27 15:25:52,1110010000000001000011110000001101100001000001000001010000011100000101000001110100001111000000000000000000000000
24,0,2019-06-27 15:27:35,1110010000000001000011110000001101100100000001000001010000011101000101000001111100001111000000000000000000000000
24,0,2019-06-27 15:29:13,1110010000000001000011110000001101101001000001000001010000011110000101000010001100001111000000000000000000000000
24,0,2019-06-27 15:32:40,1110010000000001000011110000001101101101000001000001010000100000000101000010010100001111000000000000000000000000
24,0,2019-06-27 15:34:27,1110010000000001000011110000001101110010000001000001010000100010000101000010100000001111000000000000000000000000
24,0,2019-06-27 15:36:18,1110010000000001000011110000001101110010000001000001010000100010000101000010100000001111000000000000000000000000
24,0,2019-06-27 15:38:11,1110010000000001000011110000001110001011000001000001101100110000000101000010110000001111000000000000000000000000
24,0,2019-06-27 15:40:26,1110010000000001000011110000001101111110000001000001010000101000000101000010111000001111000000000000000000000000
24,0,2019-06-27 15:42:30,1110010000000001000011110000001101110111000001000001010000100100000101000010101100001111000000000000000000000000
24,0,2019-06-27 15:44:32,1110010000000001000011110000001101111001000001000001010000100110000101000010101100001111000000000000000000000000
24,0,2019-06-27 15:46:33,1110010000000001000011110000001101111001000001000001010000100111000101000010101000001111000000000000000000000000
24,0,2019-06-27 15:48:35,1110010000000001000011110000001101101110000001000001010000011110000101000010100000001111000000000000000000000000
24,0,2019-06-27 15:50:28,1110010000000001000011110000001101110011000001000001010000100000000101000010101100001111000000000000000000000000
24,0,2019-06-27 15:52:20,1110010000000001000011110000001101111110000001000001010000100001000101000011010100001111000000000000000000000000
24,0,2019-06-27 15:54:15,1110010000000001000011110000001101110100000001000001010000100001000101000010101100001111000000000000000000000000
24,0,2019-06-27 15:56:21,1110010000000001000011110000001101110001000001000001010000100000000101000010100100001111000000000000000000000000
24,0,2019-06-27 15:58:16,1110010000000001000011110000001101101100000001000001010000100001000101000010001100001111000000000000000000000000
24,0,2019-06-27 16:00:10,1110010000000001000011110000001101101011000001000001010000100000000101000010001100001111000000000000000000000000
24,0,2019-06-27 16:03:05,1110010000000001000011110000001101100101000001000001010000011110000101000001111100001111000000000000000000000000
24,0,2019-06-27 16:04:56,1110010000000001000011110000001101100101000001000001010000011101000101000010000000001111000000000000000000000000
24,0,2019-06-27 16:06:35,1110010000000001000011110000001101100111000001000001010000100000000101000001111100001111000000000000000000000000
24,0,2019-06-27 16:08:19,1110010000000001000011110000001101101100000001000001010000100101000101000001111100001111000000000000000000000000
24,0,2019-06-27 16:10:07,1110010000000001000011110000001101101011000001000001010000100100000101010001111000001111000000000000000000000000
24,0,2019-06-27 16:11:55,1110010000000001000011110000001101100011000001000001010000011110000101000001110100001111000000000000000000000000
24,0,2019-06-27 16:13:35,1110010000000001000011110000001101100010000001000001010000011110000101000001110000001111000000000000000000000000
24,0,2019-06-27 16:15:14,1110010000000001000011110000001101100001000001000001010000011101000101000001110000001111000000000000000000000000
24,0,2019-06-27 16:16:51,1110010000000001000011110000001101100011000001000001010000011111000101000001110000001111000000000000000000000000
24,0,2019-06-27 16:18:30,1110010000000001000011110000001101101011000001000001010000100101000101010001110100001111000000000000000000000000
